"timestamp","rrqm/s","%util","wkB/s","avgrq-sz","svctm","rkB/s","wrqm/s","r/s","await","r_await","w/s","avgqu-sz","w_await"
"1579134991000","0.00","8.68","3090.80","47.12","0.66","0.00","551.90","0.00","1.85","0.00","131.20","0.24","1.85"
"1579135001000","0.00","6.67","3866.00","27.62","0.24","0.00","606.60","0.00","4.53","0.00","279.90","1.27","4.53"
"1579135011000","0.00","5.59","2391.60","52.45","0.61","0.00","441.90","0.00","2.36","0.00","91.20","0.22","2.36"
"1579135021000","0.00","7.14","2892.40","46.65","0.58","0.00","510.50","0.00","1.99","0.00","124.00","0.25","1.99"
"1579135031000","0.00","7.23","3577.60","27.79","0.28","0.00","585.60","0.00","4.89","0.00","257.50","1.26","4.89"
"1579135041000","0.00","8.90","2770.80","50.52","0.81","0.00","499.70","0.00","3.50","0.00","109.70","0.38","3.50"
"1579135051000","0.00","9.21","3371.83","50.19","0.69","0.00","618.48","0.00","1.62","0.00","134.37","0.22","1.62"
"1579135061000","0.00","4.45","2766.40","24.91","0.20","0.00","435.30","0.00","5.64","0.00","222.10","1.25","5.64"
"1579135071000","0.00","7.05","3066.00","50.59","0.58","0.00","562.70","0.00","1.41","0.00","121.20","0.17","1.41"
"1579135081000","0.00","8.39","2852.80","49.02","0.72","0.00","496.90","0.00","2.98","0.00","116.40","0.35","2.98"
"1579135091000","0.00","7.30","2313.20","52.10","0.82","0.00","429.80","0.00","2.99","0.00","88.80","0.27","2.99"
"1579135101000","0.00","9.06","3853.60","28.03","0.33","0.00","613.80","0.00","4.58","0.00","275.00","1.26","4.58"
"1579135111000","0.00","5.70","2551.60","53.21","0.59","0.00","475.90","0.00","1.72","0.00","95.90","0.17","1.72"
"1579135121000","0.00","6.31","2225.60","52.61","0.75","0.00","404.40","0.00","2.32","0.00","84.60","0.20","2.32"
"1579135131000","0.00","9.02","4116.40","28.61","0.31","0.00","657.50","0.00","4.54","0.00","287.80","1.31","4.54"
"1579135141000","0.00","4.57","1896.40","58.08","0.70","0.00","365.60","0.00","2.24","0.00","65.30","0.15","2.24"
"1579135151000","0.00","6.52","2529.60","50.80","0.65","0.00","466.60","0.00","2.00","0.00","99.60","0.20","2.00"
"1579135161000","0.00","11.39","4228.40","27.52","0.37","0.00","664.30","0.00","4.59","0.00","307.30","1.41","4.59"
"1579135171000","0.00","4.78","2000.00","57.22","0.68","0.00","393.30","0.00","2.06","0.00","69.90","0.14","2.06"
"1579135181000","0.00","7.25","2987.60","45.75","0.56","0.00","543.50","0.00","1.52","0.00","130.60","0.20","1.52"
"1579135191000","0.00","11.07","2949.20","51.34","0.96","0.00","526.90","0.00","2.44","0.00","114.90","0.28","2.44"
"1579135201000","0.00","4.62","3020.40","25.57","0.20","0.00","487.40","0.00","5.73","0.00","236.20","1.35","5.73"
"1579135211000","0.00","10.12","3405.60","45.68","0.68","0.00","607.70","0.00","1.96","0.00","149.10","0.29","1.96"
"1579135221000","0.00","7.84","2899.60","46.81","0.63","0.00","512.80","0.00","1.77","0.00","123.90","0.22","1.77"
"1579135231000","0.00","4.39","2706.40","24.93","0.20","0.00","436.60","0.00","6.00","0.00","217.10","1.30","6.00"
